date_day,date_name,sex_name,geography_name,value_type_name,measures,measures_name,all_persons_aged_16_and_over,total_unemployed_aged_16_and_over,total_in_employment_aged_16_to_64,total_economically_inactive_aged_16_to_64
2010-06-01,Apr 2010-Jun 2010,Total,London,Level,20100,number of people,6385429,399232,3733800,1386880
2010-06-01,Apr 2010-Jun 2010,Total,London,Change on quarter,20100,number of people,22587,17341,35958,-34238
2010-06-01,Apr 2010-Jun 2010,Total,London,Change on year,20100,number of people,91301,25144,61270,-4035
2010-06-01,Apr 2010-Jun 2010,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.5,67.7,25.1
2010-06-01,Apr 2010-Jun 2010,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.3,0.4,-0.7
2010-06-01,Apr 2010-Jun 2010,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.4,0.1,-0.5
2010-07-01,May 2010-Jul 2010,Total,London,Level,20100,number of people,6392872,396331,3746912,1383190
2010-07-01,May 2010-Jul 2010,Total,London,Change on quarter,20100,number of people,22373,7748,38804,-27926
2010-07-01,May 2010-Jul 2010,Total,London,Change on year,20100,number of people,90314,8872,93671,-22305
2010-07-01,May 2010-Jul 2010,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.4,67.8,25
2010-07-01,May 2010-Jul 2010,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.1,0.5,-0.6
2010-07-01,May 2010-Jul 2010,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,0.7,-0.8
2010-08-01,Jun 2010-Aug 2010,Total,London,Level,20100,number of people,6402922,391001,3755291,1389894
2010-08-01,Jun 2010-Aug 2010,Total,London,Change on quarter,20100,number of people,24875,-9349,29645,1479
2010-08-01,Jun 2010-Aug 2010,Total,London,Change on year,20100,number of people,93032,16259,65128,2620
2010-08-01,Jun 2010-Aug 2010,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.3,67.9,25.1
2010-08-01,Jun 2010-Aug 2010,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.3,0.3,-0.1
2010-08-01,Jun 2010-Aug 2010,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.2,0.2,-0.3
2010-09-01,Jul 2010-Sep 2010,Total,London,Level,20100,number of people,6412968,389424,3785815,1370129
2010-09-01,Jul 2010-Sep 2010,Total,London,Change on quarter,20100,number of people,27539,-9808,52015,-16751
2010-09-01,Jul 2010-Sep 2010,Total,London,Change on year,20100,number of people,95250,7450,103647,-25966
2010-09-01,Jul 2010-Sep 2010,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.2,68.3,24.7
2010-09-01,Jul 2010-Sep 2010,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.3,0.6,-0.4
2010-09-01,Jul 2010-Sep 2010,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,0.8,-0.9
2010-10-01,Aug 2010-Oct 2010,Total,London,Level,20100,number of people,6422764,390639,3773240,1389868
2010-10-01,Aug 2010-Oct 2010,Total,London,Change on quarter,20100,number of people,29892,-5692,26328,6678
2010-10-01,Aug 2010-Oct 2010,Total,London,Change on year,20100,number of people,97549,1508,80786,3480
2010-10-01,Aug 2010-Oct 2010,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.2,68,25
2010-10-01,Aug 2010-Oct 2010,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.2,0.1,0
2010-10-01,Aug 2010-Oct 2010,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,0.4,-0.3
2010-11-01,Sep 2010-Nov 2010,Total,London,Level,20100,number of people,6432710,399098,3766595,1399224
2010-11-01,Sep 2010-Nov 2010,Total,London,Change on quarter,20100,number of people,29788,8097,11304,9330
2010-11-01,Sep 2010-Nov 2010,Total,London,Change on year,20100,number of people,99971,3865,75572,10661
2010-11-01,Sep 2010-Nov 2010,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.4,67.8,25.2
2010-11-01,Sep 2010-Nov 2010,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.1,-0.1,0
2010-11-01,Sep 2010-Nov 2010,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,0.3,-0.2
2010-12-01,Oct 2010-Dec 2010,Total,London,Level,20100,number of people,6442639,392239,3790713,1390451
2010-12-01,Oct 2010-Dec 2010,Total,London,Change on quarter,20100,number of people,29671,2815,4898,20322
2010-12-01,Oct 2010-Dec 2010,Total,London,Change on year,20100,number of people,102339,5612,86506,-43
2010-12-01,Oct 2010-Dec 2010,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.2,68.1,25
2010-12-01,Oct 2010-Dec 2010,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,-0.2,0.2
2010-12-01,Oct 2010-Dec 2010,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,0.4,-0.4
2011-01-01,Nov 2010-Jan 2011,Total,London,Level,20100,number of people,6452565,406968,3795128,1379965
2011-01-01,Nov 2010-Jan 2011,Total,London,Change on quarter,20100,number of people,29801,16329,21888,-9903
2011-01-01,Nov 2010-Jan 2011,Total,London,Change on year,20100,number of people,104753,37119,97783,-39747
2011-01-01,Nov 2010-Jan 2011,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.5,68,24.7
2011-01-01,Nov 2010-Jan 2011,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.3,0.1,-0.3
2011-01-01,Nov 2010-Jan 2011,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.6,0.6,-1.1
2011-02-01,Dec 2010-Feb 2011,Total,London,Level,20100,number of people,6462514,401220,3802558,1385901
2011-02-01,Dec 2010-Feb 2011,Total,London,Change on quarter,20100,number of people,29804,2122,35963,-13323
2011-02-01,Dec 2010-Feb 2011,Total,London,Change on year,20100,number of people,107188,25217,100291,-30205
2011-02-01,Dec 2010-Feb 2011,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.4,68.1,24.8
2011-02-01,Dec 2010-Feb 2011,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,0.3,-0.4
2011-02-01,Dec 2010-Feb 2011,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.3,0.6,-1
2011-03-01,Jan 2011-Mar 2011,Total,London,Level,20100,number of people,6472484,397455,3814540,1385750
2011-03-01,Jan 2011-Mar 2011,Total,London,Change on quarter,20100,number of people,29845,5216,23827,-4701
2011-03-01,Jan 2011-Mar 2011,Total,London,Change on year,20100,number of people,109642,15564,116698,-35368
2011-03-01,Jan 2011-Mar 2011,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.2,68.2,24.8
2011-03-01,Jan 2011-Mar 2011,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.1,0.1,-0.2
2011-03-01,Jan 2011-Mar 2011,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.1,0.9,-1.1
2011-04-01,Feb 2011-Apr 2011,Total,London,Level,20100,number of people,6482382,402787,3807484,1396739
2011-04-01,Feb 2011-Apr 2011,Total,London,Change on quarter,20100,number of people,29817,-4181,12356,16774
2011-04-01,Feb 2011-Apr 2011,Total,London,Change on year,20100,number of people,111883,14204,99376,-14377
2011-04-01,Feb 2011-Apr 2011,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.4,67.9,24.9
2011-04-01,Feb 2011-Apr 2011,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,-0.1,0.2
2011-04-01,Feb 2011-Apr 2011,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.1,0.6,-0.7
2011-05-01,Mar 2011-May 2011,Total,London,Level,20100,number of people,6492403,421044,3799383,1394905
2011-05-01,Mar 2011-May 2011,Total,London,Change on quarter,20100,number of people,29889,19824,-3175,9004
2011-05-01,Mar 2011-May 2011,Total,London,Change on year,20100,number of people,114356,20694,73737,6490
2011-05-01,Mar 2011-May 2011,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.8,67.7,24.9
2011-05-01,Mar 2011-May 2011,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.4,-0.4,0
2011-05-01,Mar 2011-May 2011,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.2,0.1,-0.3
2011-06-01,Apr 2011-Jun 2011,Total,London,Level,20100,number of people,6502239,428762,3794762,1399749
2011-06-01,Apr 2011-Jun 2011,Total,London,Change on quarter,20100,number of people,29755,31307,-19778,13999
2011-06-01,Apr 2011-Jun 2011,Total,London,Change on year,20100,number of people,116810,29530,60962,12869
2011-06-01,Apr 2011-Jun 2011,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.9,67.5,24.9
2011-06-01,Apr 2011-Jun 2011,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.7,-0.7,0.1
2011-06-01,Apr 2011-Jun 2011,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.5,-0.2,-0.2
2011-07-01,May 2011-Jul 2011,Total,London,Level,20100,number of people,6512162,436311,3786193,1410479
2011-07-01,May 2011-Jul 2011,Total,London,Change on quarter,20100,number of people,29780,33524,-21291,13740
2011-07-01,May 2011-Jul 2011,Total,London,Change on year,20100,number of people,119290,39980,39281,27289
2011-07-01,May 2011-Jul 2011,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,10.1,67.2,25.1
2011-07-01,May 2011-Jul 2011,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.8,-0.7,0.1
2011-07-01,May 2011-Jul 2011,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.7,-0.6,0
2011-08-01,Jun 2011-Aug 2011,Total,London,Level,20100,number of people,6517803,447319,3775168,1419910
2011-08-01,Jun 2011-Aug 2011,Total,London,Change on quarter,20100,number of people,25400,26275,-24215,25005
2011-08-01,Jun 2011-Aug 2011,Total,London,Change on year,20100,number of people,114881,56318,19877,30016
2011-08-01,Jun 2011-Aug 2011,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,10.4,67,25.2
2011-08-01,Jun 2011-Aug 2011,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.6,-0.7,0.4
2011-08-01,Jun 2011-Aug 2011,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,1.2,-0.9,0.1
2011-09-01,Jul 2011-Sep 2011,Total,London,Level,20100,number of people,6523203,435675,3773854,1438249
2011-09-01,Jul 2011-Sep 2011,Total,London,Change on quarter,20100,number of people,20964,6913,-20908,38500
2011-09-01,Jul 2011-Sep 2011,Total,London,Change on year,20100,number of people,110235,46251,-11961,68120
2011-09-01,Jul 2011-Sep 2011,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,10.2,66.9,25.5
2011-09-01,Jul 2011-Sep 2011,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.2,-0.6,0.6
2011-09-01,Jul 2011-Sep 2011,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,1,-1.4,0.8
2011-10-01,Aug 2011-Oct 2011,Total,London,Level,20100,number of people,6528650,446099,3793579,1415300
2011-10-01,Aug 2011-Oct 2011,Total,London,Change on quarter,20100,number of people,16488,9788,7386,4821
2011-10-01,Aug 2011-Oct 2011,Total,London,Change on year,20100,number of people,105886,55460,20339,25432
2011-10-01,Aug 2011-Oct 2011,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,10.3,67.3,25.1
2011-10-01,Aug 2011-Oct 2011,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.2,0,0
2011-10-01,Aug 2011-Oct 2011,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,1.1,-0.7,0.1
2011-11-01,Sep 2011-Nov 2011,Total,London,Level,20100,number of people,6534429,448054,3785706,1418439
2011-11-01,Sep 2011-Nov 2011,Total,London,Change on quarter,20100,number of people,16626,735,10538,-1471
2011-11-01,Sep 2011-Nov 2011,Total,London,Change on year,20100,number of people,101719,48956,19111,19215
2011-11-01,Sep 2011-Nov 2011,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,10.4,67.1,25.1
2011-11-01,Sep 2011-Nov 2011,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,0.1,-0.1
2011-11-01,Sep 2011-Nov 2011,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,1,-0.7,0
2011-12-01,Oct 2011-Dec 2011,Total,London,Level,20100,number of people,6539658,447333,3767773,1435217
2011-12-01,Oct 2011-Dec 2011,Total,London,Change on quarter,20100,number of people,16455,11658,-6081,-3032
2011-12-01,Oct 2011-Dec 2011,Total,London,Change on year,20100,number of people,97019,55094,-22940,44766
2011-12-01,Oct 2011-Dec 2011,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,10.4,66.7,25.4
2011-12-01,Oct 2011-Dec 2011,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.2,-0.2,-0.1
2011-12-01,Oct 2011-Dec 2011,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,1.2,-1.4,0.4
2012-01-01,Nov 2011-Jan 2012,Total,London,Level,20100,number of people,6545276,444360,3771489,1435412
2012-01-01,Nov 2011-Jan 2012,Total,London,Change on quarter,20100,number of people,16626,-1739,-22090,20112
2012-01-01,Nov 2011-Jan 2012,Total,London,Change on year,20100,number of people,92711,37392,-23639,55447
2012-01-01,Nov 2011-Jan 2012,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,10.3,66.8,25.4
2012-01-01,Nov 2011-Jan 2012,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,-0.5,0.3
2012-01-01,Nov 2011-Jan 2012,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.8,-1.3,0.7
2012-02-01,Dec 2011-Feb 2012,Total,London,Level,20100,number of people,6550734,439715,3777551,1434491
2012-02-01,Dec 2011-Feb 2012,Total,London,Change on quarter,20100,number of people,16305,-8339,-8155,16052
2012-02-01,Dec 2011-Feb 2012,Total,London,Change on year,20100,number of people,88220,38495,-25007,48590
2012-02-01,Dec 2011-Feb 2012,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,10.2,66.8,25.4
2012-02-01,Dec 2011-Feb 2012,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.2,-0.3,0.2
2012-02-01,Dec 2011-Feb 2012,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.9,-1.3,0.6
2012-03-01,Jan 2012-Mar 2012,Total,London,Level,20100,number of people,6556254,429540,3778036,1448115
2012-03-01,Jan 2012-Mar 2012,Total,London,Change on quarter,20100,number of people,16596,-17793,10263,12898
2012-03-01,Jan 2012-Mar 2012,Total,London,Change on year,20100,number of people,83770,32085,-36504,62365
2012-03-01,Jan 2012-Mar 2012,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,10,66.8,25.6
2012-03-01,Jan 2012-Mar 2012,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,0.1,0.2
2012-03-01,Jan 2012-Mar 2012,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.7,-1.4,0.8
2012-04-01,Feb 2012-Apr 2012,Total,London,Level,20100,number of people,6561964,420323,3801220,1435091
2012-04-01,Feb 2012-Apr 2012,Total,London,Change on quarter,20100,number of people,16688,-24037,29731,-321
2012-04-01,Feb 2012-Apr 2012,Total,London,Change on year,20100,number of people,79582,17536,-6264,38352
2012-04-01,Feb 2012-Apr 2012,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.7,67.2,25.4
2012-04-01,Feb 2012-Apr 2012,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.6,0.4,-0.1
2012-04-01,Feb 2012-Apr 2012,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.4,-0.8,0.4
2012-05-01,Mar 2012-May 2012,Total,London,Level,20100,number of people,6567450,387907,3827568,1442142
2012-05-01,Mar 2012-May 2012,Total,London,Change on quarter,20100,number of people,16716,-51808,50017,7651
2012-05-01,Mar 2012-May 2012,Total,London,Change on year,20100,number of people,75047,-33137,28185,47237
2012-05-01,Mar 2012-May 2012,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9,67.6,25.5
2012-05-01,Mar 2012-May 2012,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.2,0.8,0.1
2012-05-01,Mar 2012-May 2012,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.8,-0.1,0.6
2012-06-01,Apr 2012-Jun 2012,Total,London,Level,20100,number of people,6572937,385553,3868358,1410287
2012-06-01,Apr 2012-Jun 2012,Total,London,Change on quarter,20100,number of people,16683,-43987,90322,-37828
2012-06-01,Apr 2012-Jun 2012,Total,London,Change on year,20100,number of people,70698,-43209,73596,10538
2012-06-01,Apr 2012-Jun 2012,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,8.9,68.3,24.9
2012-06-01,Apr 2012-Jun 2012,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.1,1.5,-0.7
2012-06-01,Apr 2012-Jun 2012,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.1,0.8,0
2012-07-01,May 2012-Jul 2012,Total,London,Level,20100,number of people,6578553,397996,3888416,1386041
2012-07-01,May 2012-Jul 2012,Total,London,Change on quarter,20100,number of people,16589,-22327,87196,-49050
2012-07-01,May 2012-Jul 2012,Total,London,Change on year,20100,number of people,66391,-38315,102223,-24438
2012-07-01,May 2012-Jul 2012,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.1,68.6,24.4
2012-07-01,May 2012-Jul 2012,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,1.4,-0.9
2012-07-01,May 2012-Jul 2012,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.1,1.3,-0.6
2012-08-01,Jun 2012-Aug 2012,Total,London,Level,20100,number of people,6584718,405234,3917815,1359608
2012-08-01,Jun 2012-Aug 2012,Total,London,Change on quarter,20100,number of people,17268,17327,90247,-82534
2012-08-01,Jun 2012-Aug 2012,Total,London,Change on year,20100,number of people,66915,-42085,142647,-60302
2012-08-01,Jun 2012-Aug 2012,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.2,69,24
2012-08-01,Jun 2012-Aug 2012,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.2,1.5,-1.5
2012-08-01,Jun 2012-Aug 2012,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.3,2,-1.2
2012-09-01,Jul 2012-Sep 2012,Total,London,Level,20100,number of people,6590785,400892,3913621,1373356
2012-09-01,Jul 2012-Sep 2012,Total,London,Change on quarter,20100,number of people,17848,15339,45263,-36931
2012-09-01,Jul 2012-Sep 2012,Total,London,Change on year,20100,number of people,67582,-34783,139767,-64893
2012-09-01,Jul 2012-Sep 2012,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.1,68.9,24.2
2012-09-01,Jul 2012-Sep 2012,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.2,0.7,-0.7
2012-09-01,Jul 2012-Sep 2012,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.1,2,-1.3
2012-10-01,Aug 2012-Oct 2012,Total,London,Level,20100,number of people,6597066,408670,3895352,1391897
2012-10-01,Aug 2012-Oct 2012,Total,London,Change on quarter,20100,number of people,18513,10674,6936,5856
2012-10-01,Aug 2012-Oct 2012,Total,London,Change on year,20100,number of people,68416,-37429,101773,-23403
2012-10-01,Aug 2012-Oct 2012,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.3,68.5,24.5
2012-10-01,Aug 2012-Oct 2012,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.2,0,0
2012-10-01,Aug 2012-Oct 2012,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1,1.3,-0.6
